"F.ID","FARR.DATE","FMASS","ADATE","AMASS","AYOLK","AALBUMEN","BDATE","BMASS","BYOLK","BALBUMEN"
49,"14/10/10",2940,"29/10/10",79.4,14.8,55.1,"2/11/2010",96.7,16.8,68.2
44,"15/10/10",3140,"31/10/10",87,14.8,60.5,"4/11/2010",104.9,17.7,73.9
18,"12/10/2010",3210,"1/11/2010",97.6,17.6,67.9,"6/11/2010",106.3,18.8,73.7
30,"8/10/2009",3100,"28/10/09",93.1,22,58.4,"2/11/2009",106.7,20.6,70.9
5,"13/10/09",2940,"29/10/09",77.9,16.1,50.8,"2/11/2009",107.2,21.1,69.5
36,"10/10/2010",2780,"30/10/10",84.2,17.8,56.4,"3/11/2010",107.2,20.8,74
29,"10/10/2009",3100,"1/11/2009",92,19.2,61.3,"5/11/2009",107.3,19.7,73.8
3,"13/10/09",2760,"28/10/09",82.2,20,49.9,"1/11/2009",107.4,22.9,69.3
7,"15/10/10",3080,"4/11/2010",83.9,19.2,53.8,"8/11/2010",107.4,22.7,71.4
37,"13/10/10",3040,"30/10/10",90.7,21.3,57.8,"3/11/2010",109.1,22.1,72.8
29,"9/10/2010",3200,"2/11/2010",95.1,18.7,64.9,"6/11/2010",109.6,21.5,74.6
34,"16/10/09",3210,"1/11/2009",87.5,20.4,54.2,"6/11/2009",109.7,21.5,72
16,"14/10/10",3270,"1/11/2010",82.8,16,55.6,"5/11/2010",110.2,20.8,74
47,"10/10/2010",3280,"28/10/10",93.6,19.7,62.8,"1/11/2010",110.2,20.4,76.4
7,"13/10/09",3030,"2/11/2009",82.9,18.3,52.6,"6/11/2009",110.3,23,72.1
16,"11/10/2009",3150,"31/10/09",85.3,18.4,54.3,"4/11/2009",110.5,21.5,72.9
17,"18/10/09",3040,"2/11/2009",85.6,15.4,58.3,"6/11/2009",112.6,19.2,76.9
34,"11/10/2010",3250,"30/10/10",90,21.2,57.8,"3/11/2010",113.2,22.8,76.5
11,"11/10/2009",3380,"30/10/09",94.9,22.4,59.6,"3/11/2009",113.8,22.1,76.3
17,"11/10/2010",3110,"29/10/10",85.2,15.5,58.4,"2/11/2010",114,18.6,80.8
24,"11/10/2010",3110,"30/10/10",98.2,16.6,69.5,"3/11/2010",114.8,18.2,82.6
23,"9/10/2010",2980,"28/10/10",95.3,17.6,64.7,"1/11/2010",115.2,21.5,77.9
14,"9/10/2010",3570,"2/11/2010",98.9,21.6,65.2,"5/11/2010",115.5,18.5,81.1
18,"11/10/2009",3040,"3/11/2009",104.5,18.1,72.5,"7/11/2009",115.9,19,80.7
4,"16/10/09",3020,"2/11/2009",87.6,19.1,53.5,"6/11/2009",116.3,24.3,74.7
1,"12/10/2009",3270,"29/10/09",94.2,16.8,62.4,"2/11/2009",116.6,20,79.4
20,"12/10/2009",2970,"30/10/09",98.2,20,64.4,"3/11/2009",116.6,24.7,75.1
27,"11/10/2009",3020,"29/10/09",88.4,17.5,58.8,"3/11/2009",117.1,21.4,79.6
23,"14/10/09",2960,"30/10/09",95.7,18.1,64.3,"3/11/2009",117.2,24.3,75.8
40,"10/10/2010",3220,"27/10/10",91.5,19.9,60.5,"31/10/10",117.3,24.2,78.1
27,"12/10/2010",3060,"31/10/10",93,18.2,62.7,"5/11/2010",117.3,22.7,79.7
42,"11/10/2010",2940,"31/10/10",95.1,20.7,62,"4/11/2010",117.3,20.1,83.1
25,"13/10/09",3040,"31/10/09",84.3,15.4,56.5,"4/11/2009",117.5,20.4,79.9
32,"13/10/10",3440,"1/11/2010",102.5,21.7,67.8,"5/11/2010",117.8,20.9,81.7
32,"12/10/2009",3320,"31/10/09",104.1,22.3,68.6,"4/11/2009",118.2,21.8,80.8
20,"12/10/2010",3190,"31/10/10",98.4,22.1,63.2,"5/11/2010",118.8,24.4,78
6,"13/10/09",3150,"29/10/09",93,19.2,60.2,"2/11/2009",119.4,21.8,80.1
11,"14/10/10",3300,"31/10/10",93.4,18.9,62.2,"4/11/2010",119.5,22,83
8,"12/10/2009",2920,"31/10/09",94.2,20.7,59.8,"4/11/2009",119.6,24.8,77.9
1,"10/10/2010",3320,"28/10/10",98.3,18.7,66.3,"1/11/2010",120,21.2,81.5
39,"12/10/2010",3230,"28/10/10",95.9,20.9,63,"31/10/10",120.1,24.9,80.8
45,"16/10/10",3240,"1/11/2010",100.1,20.6,66.3,"5/11/2010",120.1,22.6,82
41,"11/10/2010",2960,"1/11/2010",106,20.5,73.4,"5/11/2010",120.1,21.4,85.1
10,"12/10/2009",3160,"2/11/2009",101.9,18.2,69.3,"6/11/2009",120.3,21.8,80.7
52,"10/10/2010",3070,"30/10/10",96.4,19.9,63.4,"3/11/2010",120.6,22.9,82.2
14,"14/10/09",3110,"31/10/09",89.1,19.1,56.8,"4/11/2009",120.7,24.4,78.2
6,"14/10/10",3270,"31/10/10",90.1,15.4,62.3,"4/11/2010",120.9,19,86.5
9,"15/10/09",3350,"1/11/2009",95.3,20.1,62.2,"5/11/2009",121.6,24,81.7
22,"13/10/10",3020,"29/10/10",95.9,17.5,66.5,"2/11/2010",121.7,21,85.7
24,"12/10/2009",3120,"29/10/09",100.2,17.5,68.8,"3/11/2009",121.8,19,85.4
28,"15/10/09",3170,"1/11/2009",103.2,20.7,68.6,"5/11/2009",122,22.1,84.3
2,"13/10/10",2900,"3/11/2010",119.4,21.5,82.6,"7/11/2010",122.7,19.8,86.5
10,"14/10/10",3220,"3/11/2010",106.3,22,70.6,"8/11/2010",123.9,23,85.5
19,"11/10/2009",3000,"30/10/09",104.2,18.5,73.2,"3/11/2009",124.2,19.6,89.7
21,"16/10/09",2910,"2/11/2009",106.7,20.3,70.4,"6/11/2009",124.2,21.6,81.1
22,"9/10/2009",3080,"25/10/09",91,17.4,60.7,"29/10/09",124.5,23.7,83.3
28,"12/10/2010",3190,"31/10/10",102.6,20,69.2,"4/11/2010",125,20,89.8
50,"12/10/2010",3180,"31/10/10",101.3,21.8,66.7,"4/11/2010",125.8,25.8,85.2
15,"16/10/09",3230,"3/11/2009",109.2,19.6,74.8,"7/11/2009",126.6,18.9,89.4
21,"13/10/10",3020,"30/10/10",102.1,16.8,71.2,"4/11/2010",127,23.3,86.2
51,"9/10/2010",3400,"28/10/10",104.5,19.2,72,"1/11/2010",127.1,22,88.9
12,"11/10/2009",3280,"30/10/09",106.9,22.8,70.1,"3/11/2009",127.2,24.9,85.4
48,"10/10/2010",3210,"30/10/10",101.3,22,67.1,"3/11/2010",127.4,23.4,89.8
26,"8/10/2009",2890,"30/10/09",108.3,20.5,74.9,"3/11/2009",128.1,23.7,87.9
30,"14/10/10",3480,"31/10/10",99,18.7,68.1,"4/11/2010",129,22.5,90.8
33,"9/10/2009",3100,"29/10/09",103.9,23.8,65.9,"2/11/2009",129.7,22.3,89
31,"14/10/09",2910,"30/10/09",99.5,19.1,67.1,"3/11/2009",131.2,27.3,86.5
12,"11/10/2010",3410,"30/10/10",109.8,21.7,74.3,"3/11/2010",132.1,24.5,91.8
35,"9/10/2009",3250,"28/10/09",97.5,17.6,66,"2/11/2009",133.5,23.8,90.9
13,"12/10/2010",3560,"1/11/2010",115.9,22.5,79.7,"6/11/2010",134,23.8,94.1
2,"11/10/2009",3050,"29/10/09",114,20.7,76.5,"3/11/2009",134.7,20.7,94.2
46,"11/10/2010",2980,"1/11/2010",120.2,25,84.5,"5/11/2010",134.9,25.8,93.9
13,"15/10/09",3560,"2/11/2009",116.2,21.4,79.3,"7/11/2009",135.8,24.5,92.5
43,"12/10/2010",3280,"28/10/10",102.7,19.3,70.2,"1/11/2010",136.4,25.1,94.6
38,"12/10/2010",3440,"30/10/10",111.4,21.7,75.7,"3/11/2010",141.1,25.7,97.9
